"Plot","Site","bio01","bio02","bio04","bio05","bio06","bio07","bio03","Snow","FreezeThaw","FDD","GDD"
"A01","Los Cazadores",5.51330296048038,4.62415514592934,691.280955365904,24.7857142857143,-0.870967741935484,25.6566820276498,18.0232001197426,114,0,-12.5,1441.4880952381
"A02","Los Cazadores",5.66280372852953,3.89616324535679,738.75021691177,23,-1.75806451612903,24.758064516129,15.7369460073043,45,5,-66.5,1531.25
"A03","Los Cazadores",4.30708234417912,2.48012847367686,676.028835099531,20.9838709677419,-1.69354838709677,22.6774193548387,10.9365551470815,84,0,-44.5833333333333,1055.5
"A04","Los Cazadores",4.5008658008658,2.86978773914258,636.174030954617,21.9285714285714,0,21.9285714285714,13.086979917914,72,0,0,1082.78571428571
"A05","Los Cazadores",4.91823534888051,3.52863426895685,673.039697014732,23.8571428571429,-0.0645161290322581,23.9216589861751,14.7507924554736,67,0,-2.5,1205.84523809524
"A06","Los Cazadores",4.95380882558302,3.31996229576875,673.475918601721,22.3571428571429,-0.838709677419355,23.1958525345622,14.3127409989434,116,0,-15.3333333333333,1265.45238095238
"A07","Los Cazadores",5.89138621235395,4.87648373132244,756.222680405517,26.4285714285714,-0.903225806451613,27.331797235023,17.8417968251049,104,16,-19.3333333333333,1529.95238095238
"A08","Los Cazadores",4.90104617604618,3.50918866080156,717.383062098923,23.2857142857143,-1.79032258064516,25.0760368663594,13.9941916639518,118,0,-39.5833333333333,1247.97619047619
"A09","Los Cazadores",4.77620211329889,2.92474514732579,664.578879770998,21.2142857142857,-1.58064516129032,22.794930875576,12.830682239355,120,0,-31.9166666666667,1236.28571428571
"A10","Los Cazadores",5.15079481450449,3.59929479123028,698.270731341637,23.9285714285714,-0.629032258064516,24.5576036866359,14.6565391198531,124,0,-9.08333333333333,1309.02380952381
"A11","Los Cazadores",6.15912000186194,5.50291858678955,716.276949049515,25.8571428571429,-0.596774193548387,26.4539170506912,20.8019045959992,27,14,-21.3333333333333,1612.16666666667
"A12","Los Cazadores",5.10975189684867,3.41392263650328,708.485719328897,23.7857142857143,-0.838709677419355,24.6244239631336,13.863969535346,128,0,-10.6666666666667,1294.63095238095
"A13","Los Cazadores",4.80473979425592,4.02225946096914,706.469549467481,25.7142857142857,-0.564516129032258,26.278801843318,15.3060991324911,112,0,-9.5,1174.61904761905
"A14","Los Cazadores",5.08683319368803,4.54103128054741,738.088673410697,27.8571428571429,-0.387096774193548,28.2442396313364,16.0777253692085,96,0,-5.41666666666667,1241.35714285714
"A15","Los Cazadores",4.53568286552157,3.55108225108225,718.726181253918,26.1428571428571,0,26.1428571428571,13.5833747309157,216,0,0,1090.71428571429
"A16","Los Cazadores",5.54398361495136,3.54264069264069,660.715385152089,21.9285714285714,-0.580645161290323,22.5092165898618,15.7386227925689,84,0,-7.25,1450.79761904762
"A17","Los Cazadores",5.13850951915468,4.08585393101522,653.635475103343,23.2142857142857,-1.01612903225806,24.2304147465438,16.8625010085642,95,0,-19.6666666666667,1335.7380952381
"A18","Los Cazadores",4.66554601312666,3.24866987850859,640.802828805309,21.5322580645161,-1.51612903225806,23.0483870967742,14.0949987730953,87,0,-36.75,1203.07142857143
"A19","Los Cazadores",4.0898652422846,3.2042242703533,653.393833941721,24.4285714285714,0,24.4285714285714,13.116707539458,205,0,0,980.321428571429
"A20","Los Cazadores",3.50576153237444,3.07676302192431,639.8592649817,26.9285714285714,0,26.9285714285714,11.4256451742547,189,0,0,732.464285714286
"B01","Hou Sin Tierri",4.43503148841024,3.44715581044836,626.376565834741,19.9516129032258,-3.16129032258065,23.1129032258065,14.9144215106628,86,0,-90.75,1220.86904761905
"B02","Hou Sin Tierri",3.34999610758788,1.76514621826079,524.763884513045,17.758064516129,0,17.758064516129,9.93996962145041,141,0,-1.75,778.880952380952
"B03","Hou Sin Tierri",3.68823941785566,2.34808084018318,575.874647555188,21,0.5,20.5,11.4540528789423,0,0,0,772.357142857143
"B04","Hou Sin Tierri",3.7171288605104,2.4072691398331,648.133958638692,22.9285714285714,0,22.9285714285714,10.4989931332285,74,0,0,777.404761904762
"B05","Hou Sin Tierri",3.66381920668628,2.19805567995223,620.760932853494,21.9285714285714,-0.145161290322581,22.073732718894,9.95778877974184,28,0,-6.33333333333333,745.642857142857
"B06","Hou Sin Tierri",5.15217487524217,4.90902024375328,687.503543547586,24,-3.03225806451613,27.0322580645161,18.1598600902568,88,1,-69.3333333333333,1395.92857142857
"B07","Hou Sin Tierri",4.88441973765945,4.40564901357449,672.807858773136,22.8870967741935,-2.75806451612903,25.6451612903226,17.1792603045043,104,0,-58.5,1293.39285714286
"B08","Hou Sin Tierri",4.38654942881862,3.84127578020793,629.966134298517,21.9032258064516,-2.54838709677419,24.4516129032258,15.7097030588979,9,0,-52.5,1084.95238095238
"B09","Hou Sin Tierri",4.09027304267849,4.11344170290221,648.801355532964,23.5322580645161,-3.04838709677419,26.5806451612903,15.4753267948991,130,0,-59.9166666666667,1038.27380952381
"B10","Hou Sin Tierri",4.27475891121609,2.75380388984393,634.921447213277,21.9516129032258,-1.45161290322581,23.4032258064516,11.7667705837577,8,0,-21.8333333333333,982.607142857143
"B11","Hou Sin Tierri",5.31868761105413,4.45060035441014,687.674600788672,22.7258064516129,-2.75806451612903,25.4838709677419,17.4643811375588,84,0,-64.5833333333333,1448.0119047619
"B12","Hou Sin Tierri",4.4102940255888,2.89813717983907,646.964251087391,20.5714285714286,-2.85483870967742,23.426267281106,12.371314409857,17,0,-54.6666666666667,1079.79761904762
"B13","Hou Sin Tierri",4.47884325537273,2.89981220114702,631.295844617786,19.9516129032258,-2.90322580645161,22.8548387096774,12.6879574079827,0,0,-49.8333333333333,1096.5
"B14","Hou Sin Tierri",3.75804248587897,2.17386393732334,637.662296364717,20.9838709677419,0,20.9838709677419,10.3596897858606,220,0,0,877.880952380952
"B15","Hou Sin Tierri",5.30604931003985,4.94554387029359,685.0657200628,24.1612903225806,-1.96774193548387,26.1290322580645,18.9273901208767,80,0,-38.8333333333333,1399.80952380952
"B16","Hou Sin Tierri",3.65937521568779,3.33452176299785,636.997256881952,22.4032258064516,-3.93548387096774,26.3387096774194,12.6601561118106,119,0,-100.333333333333,939.309523809524
"B17","Hou Sin Tierri",3.11586442848957,2.36652027986844,533.050132515084,20.3064516129032,0,20.3064516129032,11.6540315609089,49,0,0,633.916666666667
"B18","Hou Sin Tierri",2.57493218374753,1.59140579479845,476.202859329394,17.7142857142857,-0.306451612903226,18.0207373271889,8.83096937658265,168,0,-10.9166666666667,521.595238095238
"B19","Hou Sin Tierri",2.99172525348832,3.23665713226336,640.855019023939,23.0714285714286,-4.66129032258065,27.7327188940092,11.6708972698762,141,0,-124.833333333333,736.892857142857
"B20","Hou Sin Tierri",3.35896111520416,2.6705087182006,589.056489377274,21,-2.56451612903226,23.5645161290323,11.3327543140614,38,0,-72.75,769.333333333333
"C01","Los Boches",3.5181674724361,3.65466668111273,690.878541794504,22.6612903225806,-5.56451612903226,28.2258064516129,12.9479619559422,76,0,-193.833333333333,968.047619047619
"C02","Los Boches",4.13491475617449,4.79025275799469,725.449585965615,25.4516129032258,-4.80645161290323,30.258064516129,15.8313257460379,102,1,-148.833333333333,1121.36904761905
"C03","Los Boches",4.16412197214478,4.57497158940429,675.058851191248,22.6774193548387,-4.69354838709677,27.3709677419355,16.7146870090198,43,0,-159.5,1161.66666666667
"C04","Los Boches",3.65668375315205,3.08972066124458,636.808826424571,19.1774193548387,-4.70967741935484,23.8870967741935,12.934684739849,69,0,-172.5,1037.33333333333
"C05","Los Boches",3.05924823075824,2.36859112337422,578.982588132855,19.7096774193548,-2.90322580645161,22.6129032258065,10.4745113872469,138,0,-81.3333333333333,743
"C06","Los Boches",3.48063737646607,2.35545194516273,571.436648458407,18.9354838709677,-1.67741935483871,20.6129032258064,11.4270751643263,115,0,-44.5833333333333,830.333333333333
"C07","Los Boches",3.68184358281689,3.20520708435058,611.603506825116,22.6290322580645,-0.935483870967742,23.5645161290323,13.6018370451565,134,0,-27,859.428571428571
"C08","Los Boches",3.57680961048592,2.78304681969865,609.740163046845,21.741935483871,-0.161290322580645,21.9032258064516,12.7061047732928,155,0,-10.3333333333333,811.607142857143
"C09","Los Boches",3.32223261536387,2.42117311683496,581.911329816744,20.0645161290323,-1.35483870967742,21.4193548387097,11.3036696719705,107,0,-39.5833333333333,764.488095238095
"C10","Los Boches",2.92060189532381,1.98704705565106,596.319048561616,17.7142857142857,-4.62903225806452,22.3433179723502,8.893249687043,85,0,-168.166666666667,789
"C11","Los Boches",3.64305547529964,3.41284002426939,659.145195082867,21.1612903225806,-5.17741935483871,26.3387096774194,12.9575065220271,87,0,-157.25,995.440476190476
"C12","Los Boches",3.87573273655031,4.23077373127429,687.6780523824,23.1290322580645,-5.59677419354839,28.7258064516129,14.7281286546326,19,0,-180.833333333333,1057.05952380952
"C13","Los Boches",3.71700127366145,3.53008188511526,679.944178849523,23,-5.30645161290323,28.3064516129032,12.4709445514043,2,0,-168.75,953.797619047619
"C14","Los Boches",2.79862042079784,1.65084136293814,558.634021648228,16.241935483871,-4.29032258064516,20.5322580645161,8.04023287526822,121,0,-127.25,713.416666666667
"C15","Los Boches",3.16130001348299,3.22821762034777,684.713849594604,23.241935483871,-4.82258064516129,28.0645161290323,11.5028443943426,11,0,-206.333333333333,824.333333333333
"C16","Los Boches",3.3676431003183,2.41724113854258,538.878038347188,19.4677419354839,-0.596774193548387,20.0645161290323,12.0473432949872,37,0,-19.1666666666667,736.488095238095
"C17","Los Boches",3.54832718572986,2.19091679547742,597.33985986003,19.9354838709677,-1.20967741935484,21.1451612903226,10.3613151273532,38,0,-33.0833333333333,777.892857142857
"C18","Los Boches",3.06829505928505,2.1008446133029,559.012379230894,20.3571428571429,0,20.3571428571429,10.3199384513125,179,0,0,646.666666666667
"C19","Los Boches",2.96232197230529,1.72188988245718,494.828252895097,19.1428571428571,0,19.1428571428571,8.99494714716437,31,0,0,537.166666666667
"C20","Los Boches",2.57904066487214,1.89114131141384,496.567740075089,19.2857142857143,-0.516129032258065,19.8018433179723,9.55032963874337,180,0,-16.0833333333333,517.083333333333
"D01","Hoyo Sin Tierra",6.01616539822185,4.0477307638598,685.721886705014,22.6129032258065,-1.35714285714286,23.9700460829493,16.886620700905,11,0,-45.9166666666667,1599.38333333333
"D02","Hoyo Sin Tierra",5.69892036726714,3.54789833822092,639.787317028256,20.241935483871,-0.483870967741935,20.7258064516129,17.1182643556184,79,0,-3.66666666666667,1486.2380952381
"D03","Hoyo Sin Tierra",4.60520993343574,2.92194875017456,638.128718892614,20.2142857142857,-1.46774193548387,21.6820276497696,13.4763629923035,105,0,-36.5,1164
"D04","Hoyo Sin Tierra",4.92861826793278,3.22582390727552,639.132893513447,21.6428571428571,-0.903225806451613,22.5460829493088,14.3076911165823,43,0,-17.5,1209.75
"D05","Hoyo Sin Tierra",4.90844010380301,3.23527091188381,630.139767860028,20.6428571428571,-0.532258064516129,21.1751152073733,15.2786460909421,104,0,-13.1666666666667,1234.0119047619
"D06","Hoyo Sin Tierra",5.34385502490341,4.56817483591677,757.09286295503,26.3571428571429,-1.54838709677419,27.905529953917,16.370141844504,34,0,-36.4166666666667,1301.25
"D07","Hoyo Sin Tierra",4.73274187729833,3.79384687892752,755.701934837786,25.741935483871,-2.03225806451613,27.7741935483871,13.6596112946287,147,0,-51.8333333333333,1177.55952380952
"D08","Hoyo Sin Tierra",4.36702159847321,2.90858294930876,690.895793615113,21.7903225806452,-1.74193548387097,23.5322580645161,12.3599823754039,130,0,-43.5833333333333,1068.15476190476
"D09","Hoyo Sin Tierra",4.20963872596937,3.06851696690406,650.592171396748,23.1129032258065,-0.758064516129032,23.8709677419355,12.8545981045981,96,0,-18.5833333333333,985.75
"D10","Hoyo Sin Tierra",3.659707384909,2.14609691383885,554.50927758756,18.8064516129032,-0.532258064516129,19.3387096774194,11.0974152341959,44,0,-17.1666666666667,819.583333333333
"D11","Hoyo Sin Tierra",5.8801747311828,5.2776794442117,711.280705947443,26.3571428571429,-0.306451612903226,26.6635944700461,19.7935782819554,101,0,-2.58333333333333,1497.16666666667
"D12","Hoyo Sin Tierra",4.30060512963739,2.25118000279291,639.541515355338,21.2857142857143,0,21.2857142857143,10.5760134359398,65,0,0,962.261904761905
"D13","Hoyo Sin Tierra",3.59004939952521,2.76705941907555,673.470238746424,23.9285714285714,0,23.9285714285714,11.5638304080769,234,0,0,774.583333333333
"D14","Hoyo Sin Tierra",3.9231127519434,2.8162320206675,730.599238372321,25.5714285714286,0,25.5714285714286,11.0131978461858,226,0,0,845.083333333333
"D15","Hoyo Sin Tierra",3.73521767211283,2.63335428012847,661.289490139525,21.241935483871,-2.95161290322581,24.1935483870968,10.884531024531,71,0,-85.6666666666667,892.285714285714
"D16","Hoyo Sin Tierra",4.99220430107527,3.41817832704929,672.782698531203,23.1451612903226,-0.82258064516129,23.9677419354839,14.2615784843241,112,0,-15.4166666666667,1257.95238095238
"D17","Hoyo Sin Tierra",4.28043714797747,2.92259635525765,692.827920186461,22.3387096774194,-2.19354838709677,24.5322580645161,11.9132790286636,139,0,-54.0833333333333,1045.79761904762
"D18","Hoyo Sin Tierra",3.47320119396732,2.80242633710376,642.676823202826,23.3571428571429,0,23.3571428571429,11.998155571698,225,0,0,755.166666666667
"D19","Hoyo Sin Tierra",3.68891536331052,2.97244972769166,645.317153863381,24.8571428571429,0,24.8571428571429,11.9581310884147,188,0,-4.5,812.083333333333
"D20","Hoyo Sin Tierra",3.93940964949029,2.17634932272029,612.938903995321,20.1129032258065,-0.5,20.6129032258065,10.5581892025554,48,0,-17,867.345238095238
