"Taxon","bio1","bio2","bio7","FDD","GDD","Snw","(Intercept) estimate","(Intercept) std.error","(Intercept) statistic","(Intercept) p.value","GDD estimate","GDD std.error","GDD statistic","GDD p.value","null.deviance","df.null","logLik","AIC","BIC","deviance","df.residual","nobs","rho2"
"Agrostis schleicheri",4.0898652422846,3.2042242703533,24.4285714285714,0,980.321428571429,205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alchemilla catalaunica",4.51572293074053,2.94401548002168,22.2507433557788,9.54730229120474,1100.51800232288,98.370288248337,-6.09772651242554,0.629226607887847,-9.69082749519136,3.2984526333383e-22,0.000889670740731667,0.000555608926189572,1.60125350547035,0.10932078239899,252.65287163982,77,-138.033603082033,280.067206164067,284.780623817446,250.091137398041,76,78,0.01
"Androsace villosa",5.07770381163347,3.90499417085581,24.045701197066,26.5781558185404,1308.18227317554,86.2529585798817,-9.61098118393912,0.705908717460815,-13.6150481587906,3.25930820912361e-42,0.00413584146621616,0.000532680823978033,7.76420190111202,8.21609290660097e-15,210.342255375724,77,-100.609761484166,205.219522968332,209.932940621711,138.313902425012,76,78,0.26
"Anemone pavoniana",4.5008658008658,2.86978773914258,21.9285714285714,0,1082.78571428571,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anthyllis vulneraria",3.81963903824612,3.04116514486311,23.2963853420445,52.3577479975354,925.355024865769,90.2255083179298,-1.87717983966158,0.267474845857941,-7.01815467409812,2.2481759351518e-12,-0.00171144774180936,0.000278302278776378,-6.14960017335879,7.76785133679292e-10,521.769344407795,77,-308.284517855912,620.569035711823,625.282453365202,481.509519953121,76,78,0.06
"Arabis alpina",3.63660107766741,2.43458176073372,21.1732240674724,13.5707547169811,804.984725965858,64.7169811320755,-2.99514518187821,1.22323564823541,-2.44854308014886,0.0143435276060417,-0.00395432462399337,0.00147005544151096,-2.68991530001685,0.00714701563928704,55.9340294283214,77,-31.344447192647,66.688894385294,71.4023120386732,47.0160521720054,76,78,0.12
"Arenaria erinacea",5.50746238682246,4.55899836742917,26.0433214901326,17.7601781170484,1379.76072337332,75.1068702290076,-13.2645619988016,1.91474362480159,-6.92759167701948,4.28065140337945e-12,0.00561828054663761,0.0013739860640868,4.08903750444638,4.33166819828331e-05,78.9883071176643,77,-34.5296336936452,73.0592673872905,77.7726850406697,56.1269148134423,76,78,0.25
"Arenaria grandiflora",3.34623653339101,2.44222261748263,21.8932027649769,16.5152777777778,733.34126984127,130.8,-2.10359126157927,1.72101098395102,-1.22229973033056,0.221594301207112,-0.00585898457814531,0.0022785931766257,-2.57131665197985,0.0101312645396405,26.2207733735806,77,-13.9997352531316,31.9994705062631,36.7128881596423,17.0018745154027,76,78,0.26
"Arenaria moehringioides",3.42570674851838,2.39915557309795,21.5602051434518,51.8844086021505,790.938556067588,79.6129032258064,-3.96791350656864,2.27901750961784,-1.74106319491771,0.081672501897373,-0.00427845957157328,0.00279001859348023,-1.53348783465862,0.125155701812789,14.9511495839722,77,-8.70756731017093,21.4151346203419,26.128552273721,11.9879801556493,76,78,0.09
"Arenaria purpurascens",4.23887679144794,2.94256210168049,22.9659610005433,31.6946870451237,1025.53373882304,103.729257641921,-5.66317267963112,0.834032600585223,-6.79010949411017,1.12048471958717e-11,-0.000159649772590431,0.00078722695385977,-0.202800185902768,0.839291212626352,68.4393656558011,77,-54.688014881624,113.376029763248,118.089447416627,68.3981304668052,76,78,0
"Armeria cantabrica",3.25015459821567,2.22915828036278,21.1291206363235,26.5470319634703,712.851021961296,116.898630136986,1.5043935861773,0.431769044600242,3.48425530961849,0.000493508483173642,-0.00676145751925924,0.00058420654351199,-11.5737449269437,5.59845473383333e-31,352.799156357667,77,-115.432717983942,234.865435967884,239.578853621263,152.454730870187,76,78,0.47
"Asplenium viride",4.30708234417912,2.48012847367686,22.6774193548387,44.5833333333333,1055.5,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Botrychium lunaria",3.23293026803873,2.06583324906462,19.0322580645161,0.875,706.398809523809,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carduus carlinoides",3.32223261536387,2.42117311683496,21.4193548387097,39.5833333333333,764.488095238095,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carex ornithopoda",3.33079572504439,2.35402738798936,19.9807289484709,17.4242424242425,718.367965367965,36.4545454545455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carex pulicaris",3.11586442848957,2.36652027986844,20.3064516129032,0,633.916666666667,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carex sempervirens",4.74047224790412,3.49626393111319,23.7710048201706,25.4563218390805,1191.84408866995,92.9218390804598,-5.42081128385361,0.232943309775384,-23.2709464336221,8.73119331787642e-120,0.00233416552160186,0.000192619463409902,12.1180148686982,8.47879914312845e-34,1022.11541917542,77,-505.172967224982,1014.34593444996,1019.05935210334,866.856804622773,76,78,0.13
"Cystopteris fragilis",5.24974760593503,3.39926606115427,21.50389932648,10.1923076923077,1340.73443223444,85.5384615384615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dethawia splendens subsp. cantabrica",4.61758926922909,3.41736877704561,24.2144327875282,30.1205673758865,1162.726443769,109.900709219858,-8.24775089031684,1.20048822021328,-6.8703305467267,6.40533095578172e-12,0.00175833730236489,0.0010069141566855,1.74626336385305,0.0807651988435778,59.5758901535698,77,-39.6624171599626,83.3248343199251,88.0382519733043,56.4627855864577,76,78,0.04
"Draba dedeana",5.30604931003985,4.94554387029359,26.1290322580645,38.8333333333333,1399.80952380952,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Epilobium anagallidifolium",3.68891536331052,2.97244972769166,24.8571428571429,4.5,812.083333333333,188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Erigeron alpinus",4.64534596265399,3.52061448166603,25.2606070236771,9.3390804597701,1114.11945812808,149.655172413793,-9.05077023324726,2.50684729804765,-3.61041944608914,0.000305702235696848,0.00107308605140966,0.00218750352407271,0.490552833218656,0.623742753372293,14.9688247162401,77,-9.24316802310455,22.4863360462091,27.1997536995883,14.7277985685456,76,78,0.03
"Erinus alpinus",4.30708234417912,2.48012847367686,22.6774193548387,44.5833333333333,1055.5,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eryngium bourgatii",4.31766694886655,3.02621229576875,24.2258064516129,4.375,998.79761904762,128.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Euphorbia pyrenaica",5.26955242996514,4.11319237372368,25.4636080238547,20.8823529411764,1331.12079831933,99.2352941176471,-13.1327368320212,3.28577373056257,-3.99684759478941,6.41915987249293e-05,0.00452319212813589,0.00243486058207217,1.85768013225894,0.0632144515193062,19.4908973818137,77,-10.5182749054832,25.0365498109664,29.7499674643456,15.237753573974,76,78,0.18
"Euphrasia salisburgensis",4.52720102742413,3.75904011803749,24.6724619466555,91.7676767676767,1219.89574314574,79,-10.7016727186496,2.68365588968933,-3.98772165975736,6.67108653923508e-05,0.00259746088349142,0.00215327221538829,1.20628542221868,0.227707456576201,14.9076398072306,77,-8.56176676083349,21.123533521667,25.8369511750462,13.3607463199681,76,78,0.11
"Festuca glacialis",3.0694955910793,2.14733770493503,20.6985466146756,24.7423076923077,649.418571428572,102.067692307692,1.96280865882213,0.84059035137962,2.33503591327293,0.0195415447010129,-0.00928278814352772,0.00125926599914666,-7.37158642401067,1.68609401857731e-13,119.982792638482,77,-34.5456383059293,73.0912766118587,77.8046942652379,29.1149424194783,76,78,0.57
"Festuca gr. rubra",4.31137784918844,3.11105643947787,23.4275812164375,29.444165682802,1052.02811744532,105.625147579693,-4.03462981597149,0.314740455910105,-12.8189107571346,1.28492905038103e-37,0.000217353327602231,0.000290013081544679,0.749460425869601,0.453579742437923,394.11509556163,77,-251.182917318801,506.365834637603,511.079252290982,393.554684040519,76,78,0
"Festuca hystrix",5.1761459445951,3.88931790857477,24.1057563498017,47.2318313953488,1367.43355481727,77.7151162790698,-11.9259216704601,1.14498439868232,-10.4157940354338,2.10037470326903e-25,0.00535353868233827,0.000829158984032195,6.45658888757865,1.07089293318261e-10,150.552741484157,77,-64.6236556555384,133.247311311077,137.960728964456,94.923615400035,76,78,0.3
"Festuca picoeuropeana",4.93971527633123,3.49011349520383,23.3664833259006,13.2616487455197,1232.88917050691,92.4623655913978,-9.91434122655347,1.63295949901533,-6.07139444213513,1.26804300398808e-09,0.00280132222499347,0.00129778728535963,2.15853727078023,0.0308860838980896,54.5529597013332,77,-30.8387967917658,65.6775935835317,70.3910112369108,49.5370561294885,76,78,0.07
"Galium pumilum",3.79955851719965,2.16122311827957,19.975806451613,17.0833333333333,843.464285714286,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Galium pyrenaicum",3.892187083711,3.97352689023991,27.7813895781638,154.074358974359,1049.76648351648,67.2153846153846,-7.27831361862762,1.58765547362911,-4.58431551398909,4.55476030594459e-06,0.000181226293609653,0.00146548562520244,0.123662962292529,0.901582138309641,30.0564843551165,77,-21.3885827769634,46.7771655539268,51.490583207306,30.0412243934047,76,78,0
"Genista legionensis",4.92892290561141,3.52722930631197,25.3251728110599,7.00520833333335,1227.57738095238,153.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gentiana nivalis",4.06214721958715,2.9920243624871,22.5533640552995,37.8877777777778,986.507142857143,85.8933333333333,-6.21586588460941,1.42913204734853,-4.34939927079636,1.36510969274502e-05,-0.000721846429266983,0.00140047669732414,-0.515429089713665,0.606253209192618,28.2738194685555,77,-21.3553948611141,46.7107897222283,51.4242073756075,28.0034575298933,76,78,0.01
"Gentiana verna",4.81109118467813,3.81377202031477,25.2191438565321,11.7740963855422,1191.61144578313,112.240963855422,-9.269360919937,1.62406369479194,-5.70751070272802,1.14640414362629e-08,0.00217525951986307,0.00133160540789495,1.63356164443775,0.10235092703997,52.1801925296197,77,-29.8602992259212,63.7205984518423,68.4340161052215,49.4069275967315,76,78,0.04
"Gentianella campestris",4.91823534888051,3.52863426895685,23.9216589861751,2.5,1205.84523809524,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gnaphalium hoppeanum",3.53840218419841,2.89762259804512,25.4038792214045,1.49378109452736,746.309168443497,156.492537313433,-2.28216517220114,1.6087631059436,-1.41858373291235,0.156020411169723,-0.00546821440340346,0.00209144402273738,-2.61456407341297,0.00893414015354124,46.0216684421445,77,-21.9093461046636,47.8186922093271,52.5321098627063,36.7097670248622,76,78,0.17
"Gypsophila repens",5.12580336175998,4.32471252234638,25.3443430458289,41.2956036745407,1351.38235845519,92.7362204724409,-11.7194488905591,1.2715019553875,-9.21701208629874,3.05494117261176e-20,0.00497523626368943,0.000930270178437923,5.34816269402903,8.88515792927593e-08,149.294865253093,77,-65.8070326045752,135.61406520915,140.32748286253,112.497064010189,76,78,0.22
"Helianthemum apenninum subsp. cantabricum",4.28043714797747,2.92259635525765,24.5322580645161,54.0833333333333,1045.79761904762,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Helianthemum apenninum subsp. urrielense",3.82543020369549,2.82289092417027,22.8677312623212,24.34729791099,885.508347389818,113.213442325159,-1.22160018837645,0.26691490360362,-4.57674027146336,4.72277214702907e-06,-0.0024129459098391,0.000289843771644744,-8.32498796212395,8.43373121727731e-17,584.039870337182,77,-307.818543020976,619.637086041952,624.350503695332,506.956147328551,76,78,0.11
"Helianthemum canum",4.9098938729317,3.76484105438499,24.4175497346396,34.2997363156938,1249.72833372301,81.9263502454992,-7.34966206237259,0.386092708612287,-19.0360032666483,8.58329670292127e-81,0.00316883993340731,0.000304541289609747,10.4052883517634,2.34544918457999e-25,467.427691982765,77,-225.61296475124,455.22592950248,459.939347155859,347.211125050516,76,78,0.21
"Helictotrichon sedenense",3.9319462894055,3.24504078757239,24.119048538867,64.6016966067864,967.214727687482,83.6011976047904,-3.50500165710912,0.428032107012769,-8.18864192588375,2.64190263940794e-16,-0.00101925105996415,0.000427335732451833,-2.38512949552852,0.0170731103716806,287.554609340715,77,-173.52412669172,351.048253383441,355.76167103682,281.700765775944,76,78,0.02
"Herniaria glabra",3.38761982208868,2.85052102143314,23.3225806451613,50.1666666666665,786.613095238095,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hippocrepis comosa",4.69776573537697,3.88692001782557,26.5872434017595,3.33333333333334,1133.41287878788,153.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hornungia alpina",3.86108999673841,2.44948478258968,21.5491908691458,8.72674418604651,911.949295997468,184.687707641196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Iberis carnosa",3.54617343390237,2.81451526938962,23.6979619653404,83.1924882629108,880.750167672703,116.014084507042,-4.68562845233768,1.45079812537715,-3.22969017561944,0.00123924431984366,-0.00242268094229533,0.00159083545866266,-1.52289850537526,0.1277840997908,29.0210687914774,77,-20.2943351170984,44.5886702341967,49.3020878875759,26.4467094646395,76,78,0.06
"Jacobaea boissieri",5.15217487524217,4.90902024375328,27.0322580645161,69.3333333333333,1395.92857142857,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jasione cavanillesii",3.20836698313583,2.09046288805744,20.7132056451613,22.0598958333333,668.606026785714,77.90625,-1.06294358156973,2.54565843544816,-0.417551532746221,0.676275039302812,-0.00824790758103889,0.00371280482270487,-2.22147620866052,0.026318724373323,19.5467248404982,77,-8.75727783225675,21.5145556645135,26.2279733178927,11.7401035077131,76,78,0.31
"Jurinea humilis",5.16884058041691,3.93282487306635,24.2471838197645,26.2534722222222,1338.28979276896,90.5,-11.5002138390031,1.33152701290616,-8.63686108320321,5.7778571022544e-18,0.00469034843653035,0.000982639607045421,4.77321329498736,1.81309591017538e-06,101.753258109648,77,-48.8248059470576,101.649611894115,106.363029547494,73.214610099532,76,78,0.23
"Kobresia myosuroides",4.51536386319605,3.53837804171761,23.3284457478006,88.3712121212121,1241.5183982684,85.8181818181818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Koeleria vallesiana",4.61730441700816,3.30624243008501,23.9923772073929,32.4861800141743,1146.15369039182,114.826364280652,-5.68567487872717,0.37550176268933,-15.1415397840121,8.61722278096229e-52,0.00155114613045,0.000319712161493104,4.85169573533241,1.22410318134402e-06,508.71827998826,77,-291.763602908929,587.527205817857,592.240623471237,484.823335676609,76,78,0.04
"Linaria alpina",3.86648814489645,2.67261319395288,22.1889400921659,18.1666666666667,885.270833333334,96.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lotus corniculatus",4.94509115529138,3.52314264526723,23.9328606876994,13.3051282051282,1245.09725274725,103.123076923077,-10.5109092420703,1.99317847539633,-5.27344107505489,1.33889255604921e-07,0.0029932491000936,0.00156974585193832,1.90683676366945,0.0565417290112499,30.0564843551165,77,-19.3323930845077,42.6647861690154,47.3782038223946,26.0925755617306,76,78,0.1
"Luzula pediformis",3.77635241265412,2.52575166723907,22.2382748624944,0.865591397849462,862.231470814132,202.798387096774,-3.82762039712582,1.10302045207462,-3.4701264060214,0.000520213478624892,-0.00276621007981737,0.00123562571883529,-2.23871196402808,0.0251746635746404,76.4634885486455,77,-41.2077350756132,86.4154701512265,91.1288878046057,70.7728709517842,76,78,0.07
"Minuartia verna",4.47145520611616,3.44244486731053,24.3901915604952,50.7773692810457,1114.30288281979,77.578431372549,-7.10320578223081,0.946408518440166,-7.50543305964536,6.12258521995444e-14,0.00107820290662741,0.000825858501537952,1.30555404420919,0.191704257082429,43.797091125713,77,-43.5488673130709,91.0977346261417,95.8111522795209,42.0895898257459,76,78,0.02
"Oxytropis neglecta",5.17675561649169,4.43259194373564,27.8167155425219,33.1060606060606,1249.54220779221,48.0909090909091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Paronychia kapela subsp. serpyllifolia",5.49378209902403,4.57653027975609,27.2645929339477,16.1111111111111,1397.0376984127,118.166666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pedicularis pyrenaica",4.58551749874052,3.72428631230077,23.7635757877694,75.0945945945946,1232.6212998713,74.054054054054,-10.1369783814722,1.82958321998895,-5.54059431171075,3.01446836831535e-08,0.00279621454227116,0.00145425360813586,1.92278329352436,0.0545072710640112,49.3774161495838,77,-27.0004266640714,58.0008533281428,62.714270981522,45.3985034198663,76,78,0.06
"Phyteuma orbiculare",5.09569996407192,3.42090311492572,23.4934690389721,12.8863134657837,1290.37551245664,97.317880794702,-10.6410679391585,1.42570421694885,-7.46372761801285,8.4108383616591e-14,0.00376249512036986,0.00108720145703401,3.46071567143988,0.0005387414967024,77.2324279173586,77,-40.8495536380709,85.6991072761418,90.412524929521,63.398984035946,76,78,0.15
"Pilosella officinarum",4.73567948760722,3.87027485531577,26.0725806451613,14.3928571428572,1151.26105442177,105.142857142857,-10.3673373293136,3.75436194642348,-2.76141125369914,0.00575521554288913,0.00159228836416572,0.00317742843982642,0.501124854365787,0.616283255871136,9.42477671511445,77,-5.29198494219715,14.5839698843943,19.2973875377735,9.16994281576467,76,78,0.02
"Plantago alpina",4.17705010082911,2.9087830499634,22.8520637737318,24.4610347085789,996.845436897745,87.7563850687623,-3.73825941859026,0.392126832106672,-9.5332915590263,1.52373706818379e-21,-0.000577660132485521,0.00038022187486104,-1.51927116948923,0.128694253565434,373.525940802432,77,-216.739853237413,437.479706474825,442.193124128204,371.188003664118,76,78,0.01
"Poa alpina",3.73923282229039,2.43049652732634,21.6804915514593,5.66666666666667,804.761904761905,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Potentilla crantzii",4.56883757162463,3.37883207159108,23.9405712460647,38.8976897689769,1130.75106082037,83.1584158415842,-8.06318687039466,1.36699585853082,-5.89847205467071,3.66883087292324e-09,0.00130586475149307,0.00117655385444713,1.10990648371698,0.267039326269891,40.919136908583,77,-29.8964746052819,63.7929492105637,68.5063668639429,39.6791483326866,76,78,0.02
"Ranunculus carinthiacus",4.01902340287185,2.74960743400645,22.9769069399546,33.613184079602,941.48631840796,65.4850746268657,-4.97487409639974,1.05664166345683,-4.70819414798041,2.49921007441446e-06,-0.00140642505415029,0.00108389634373242,-1.29756416495256,0.194437142799035,57.1569866062639,77,-38.5569301169686,81.1138602339373,85.8272778873165,55.3939167793156,76,78,0.02
"Ranunculus parnassiifolius subsp. favargeri",3.51661940041463,3.08549072576751,24.7193548387097,105.427450980392,895.505182072829,98.3764705882353,-4.73614474196523,1.32370183343118,-3.57795435675165,0.000346293904238415,-0.0021629175855806,0.00142734555617959,-1.51534264160239,0.129685654881566,51.7503278547201,77,-29.8467244644782,63.6934489289564,68.4068665823355,49.2427355589954,76,78,0.04
"Salix breviserrata",3.70817928687188,3.38039420102824,26.294930875576,169.587301587302,1001.55612244898,38.6666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saxifraga conifera",4.3015066160803,3.25347787051256,24.4155717500804,44.3325581395349,1049.89283868586,81.3457364341085,-4.97926212166722,0.505910667129124,-9.84217658410503,7.40902935191056e-23,0.000184369184571888,0.000466969296684397,0.394820785608297,0.692975153879839,209.470501066712,77,-136.621180210834,277.242360421668,281.955778075047,209.314945608969,76,78,0
"Saxifraga oppositifolia",3.88165256570151,3.8937531119233,26.4290322580645,134.4,1037.80714285714,77.6,-9.66924049651381,5.67714359977496,-1.70318758484409,0.0885329692977444,1.37647688972183e-05,0.00529790996896241,0.00259815077603406,0.997926977941448,2.74773902903934,77,-0.500016036243252,5.0000320724865,9.71344972586569,2.7477322812868,76,78,0
"Saxifraga paniculata",4.22978517897873,3.19836265884653,25.0622119815668,7.66666666666665,998.958333333333,152.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Scilla verna",4.85287380331735,3.88754270818787,26.1937019969278,7.37222222222222,1194.09722222222,141.566666666667,-10.329460158944,2.7095717177243,-3.81221138801206,0.000137729006434427,0.0022100697899065,0.00221714322643007,0.996809661893176,0.31885690754535,14.9633223835438,77,-9.29533830292949,22.590676605859,27.3040942592382,13.9290057434082,76,78,0.02
"Sedum album",4.18805264635276,2.77721555607633,22.8477555896911,38.7407407407407,1014.20414462081,128.851851851852,-7.63979008034584,2.41095349387446,-3.16878367822371,0.00153078282298499,-0.000320326483401812,0.00230016145864949,-0.139262607934439,0.889242636447925,14.9588814718979,77,-9.47756727306327,22.9551345461265,27.6685521995057,14.9393699171498,76,78,-0.01
"Sedum atratum",3.77309644780992,2.81743623781801,23.2676102699144,61.4375,911.582695578231,81.1964285714286,-5.40153766028235,1.62932976627661,-3.31518994624772,0.000915808725065411,-0.0018888841409887,0.00172598114851449,-1.09438283414302,0.273787109352723,22.1695937289287,77,-15.2758705366372,34.5517410732744,39.2651587266536,20.8827445892719,76,78,0.05
"Sempervivum vicentei",4.67552804317893,3.00551660878144,21.9586368366285,33.0940860215054,1175.10810291859,93.9677419354839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Silene acaulis",3.2990629667778,2.53826423791329,22.1457279164405,51.6147893379192,761.389591778242,93.0008598452279,0.392532345567036,0.393904067092637,0.996517625380906,0.318998707638999,-0.0051780821587516,0.000498813997117592,-10.3807876055469,3.03262864466638e-25,548.613467496092,77,-226.079717374458,456.159434748917,460.872852402296,402.612336219281,76,78,0.24
"Silene ciliata",3.76743004206338,2.80650697923191,24.0730633576191,58.0619180633147,890.748144453311,134.346368715084,-3.21163771035312,0.647276888126618,-4.96176793774981,6.98544243958918e-07,-0.00225467596968548,0.000701347010929159,-3.21477946658451,0.00130544772534294,148.144485781154,77,-87.3317082506587,178.663416501317,183.376834154697,136.790477577859,76,78,0.06
"Teucrium pyrenaicum",5.10975189684867,3.41392263650328,24.6244239631336,10.6666666666667,1294.63095238095,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Thesium pyrenaicum",5.02242470790858,3.20621421589163,22.2188940092166,3.625,1266.79166666666,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Thymus praecox subsp. ligusticus",4.29713120729628,3.29957012623176,24.5615597205404,38.0966052299937,1039.01472904852,101.452268431002,-3.61243846179908,0.280008072259577,-12.9011940000438,4.43176772341503e-38,3.1564151357565e-05,0.000261026802478417,0.120923028048719,0.903752002265426,306.906274103927,77,-237.365204650836,478.730409301673,483.443826955052,306.891657929998,76,78,0
"Veronica nummularia",3.44566553540215,2.64433248170337,21.8398617511521,10.9880952380952,770.091836734694,156.642857142857,-4.35501096032605,3.44229743588806,-1.26514661833762,0.205818774128586,-0.00480167215575015,0.00433277170503943,-1.10822182257268,0.267766028457474,9.42477671511445,77,-5.04722751421319,14.0944550284264,18.8078726818056,7.82219025287238,76,78,0.07
"Viola rupestris",4.19035837077272,2.8969239992488,21.889400921659,19.1166666666667,1022.57142857143,95,-9.44782952133151,5.62636135173706,-1.67920773848175,0.0931115643377359,-0.000201160505949239,0.00532544692845416,-0.0377734505012954,0.969868312690893,2.74773902903934,77,-0.500016083861544,5.00003216772309,9.71344982110227,2.7463075627634,76,78,0
