"Taxon","(Intercept) estimate","(Intercept) std.error","(Intercept) statistic","(Intercept) p.value","FDD estimate","FDD std.error","FDD statistic","FDD p.value","GDD estimate","GDD std.error","GDD statistic","GDD p.value","null.deviance","df.null","logLik","AIC","BIC","deviance","df.residual","nobs","rho2","Cold & Frozen","Cold & Snowy","Hot & Frozen","Hot & Snowy","Frequency 2009","Frequency 2018","Frequency change '09 to '18"
"Alchemilla catalaunica",-2.62383244013741,1.40460738308862,-1.86801840267123,0.0617595058855592,-0.0611005156705721,0.0289165249832897,-2.11299648577694,0.0346010686678473,0.00177772838797092,0.00130842016362893,1.3586831183038,0.174247023827292,59.7418271997449,77,-23.9787249258294,53.9574498516588,61.0275763317276,47.9574498516588,75,78,0.2,0,17,0,74,"-","-","-"
"Androsace villosa",-10.8972555023654,2.58164804515681,-4.22104613477765,2.43171157534721e-05,-0.00646383693220148,0.00729417028056495,-0.886164797855643,0.375528729816145,0.00968774576514296,0.0022250750834135,4.35389611674629,1.33739101006226e-05,101.84082385095,77,-26.137672752495,58.27534550499,65.3454719850588,52.27534550499,75,78,0.49,0,0,100,100,"17.6","17.2","-0.4"
"Anthyllis vulneraria",0.110415187518587,1.07164880305932,0.103032996634136,0.917936782778491,-0.00205743940938491,0.00455805360424393,-0.451385522862053,0.651711715575199,0.00103288710632087,0.00101126452031362,1.02138173106334,0.307073617350777,88.805896798032,77,-43.7509045087233,93.5018090174466,100.571935497515,87.5018090174466,75,78,0.01,55,67,85,90,"36","41","5"
"Arabis alpina",3.40613080351368,1.55348277344928,2.19257713167355,0.0283378602479576,-0.00609812462527356,0.00718350988877599,-0.848905997164657,0.395933601517309,-0.00524666166705428,0.0018088449345471,-2.90055911750553,0.0037249756644653,66.9743914211761,77,-26.2423428511462,58.4846857022923,65.5548121823611,52.4846857022923,75,78,0.22,25,60,0,0,"-","-","-"
"Arenaria grandiflora",2.92739234319354,1.33703538841319,2.18946511705109,0.0285630512592881,-0.00722016157977279,0.00656924303865591,-1.09908577552796,0.271730653777918,-0.0042630067154937,0.00146292401442263,-2.91403153784182,0.00356793859603005,76.3700954051769,77,-31.4235534692948,68.8471069385895,75.9172334186583,62.8471069385895,75,78,0.18,22,62,0,0,"-","-","-"
"Arenaria moehringioides",5.24338460318517,2.01918713368682,2.59677991985384,0.00941021960423286,0.0131400221038629,0.0060460811973946,2.17331221246669,0.0297568269541631,-0.00849671900368635,0.00260410852618727,-3.26281294279489,0.00110312305169108,70.2875485831435,77,-23.2225524037399,52.4451048074798,59.5152312875486,46.4451048074798,75,78,0.34,97,60,0,0,"1.6","3","1.4"
"Arenaria purpurascens",-1.04385752574737,0.98820534949396,-1.05631640861073,0.290823681838496,-0.00907353796649802,0.00551849300266355,-1.64420575728167,0.10013370812763,0.000744497060480589,0.000890983377310222,0.835590292074967,0.403385431996736,100.625171661461,77,-48.2885749379099,102.57714987582,109.647276355889,96.5771498758199,75,78,0.04,5,35,15,62,"0","1.5","1.5"
"Armeria cantabrica",7.98307670845933,1.77356495277942,4.50114708003716,6.75877147495203e-06,-0.0124349263920068,0.00569272782976747,-2.18435287332448,0.0289363283304679,-0.00753155441658602,0.00164895818732963,-4.56746233740639,4.93664342372596e-06,106.84537350487,77,-32.531814009888,71.063628019776,78.1337544998448,65.063628019776,75,78,0.39,65,98,0,0,"1.6","0.2","-1.4"
"Carex sempervirens",-2.06493159274106,1.04966402081548,-1.96723099181472,0.0491565866121081,-0.0169183507086841,0.00621991843255525,-2.72002774507989,0.00652764390054933,0.00274352220769143,0.00100977192242344,2.71697216645421,0.00658821478875883,108.079672495256,77,-44.5477275686557,95.0954551373113,102.16558161738,89.0954551373113,75,78,0.18,1,38,36,97,"11.2","9.8","-1.4"
"Dethawia splendens subsp. cantabrica",-2.27556566573731,1.11489683456491,-2.04105491664199,0.0412453688446578,-0.0141500336637378,0.00792706060566747,-1.78502907542061,0.0742566008700848,0.00161553328488077,0.000986509421236696,1.63762580478504,0.101499776655246,88.805896798032,77,-40.6395187216888,87.2790374433776,94.3491639234464,81.2790374433776,75,78,0.08,1,21,8,74,"0.2","0.1","-0.1"
"Erigeron alpinus",-0.638743018709825,1.25307488073812,-0.509740501967108,0.610233273930469,-0.0563672397452454,0.0266782593827381,-2.11285297652205,0.0346133537134458,-4.40553746343851e-05,0.00123821941232424,-0.0355796187621461,0.97161755990241,63.4640699636227,77,-25.7330386276479,57.4660772552958,64.5362037353646,51.4660772552958,75,78,0.19,0,34,0,33,"0.2","0.8","0.6"
"Euphrasia salisburgensis",-5.84496857801736,2.04224566004912,-2.8620301133982,0.00420936910777327,0.0270909182810923,0.00684387426995888,3.95841846481716,7.54476875897067e-05,0.00249286396803995,0.00156025174948559,1.59773188452559,0.110102659579645,76.3700954051769,77,-26.0739982511277,58.1479965022553,65.2181229823241,52.1479965022553,75,78,0.32,91,1,100,33,"4.4","3.2","-1.2"
"Festuca glacialis",18.1933286689245,5.3674732792108,3.38955179141563,0.000700069832051581,0.00916536245815583,0.00844546650963965,1.08524051900443,0.277815142510408,-0.0225483088598084,0.00671635951498189,-3.35722184161089,0.000787299163280823,90.8687900460538,77,-14.9813883861925,35.9627767723849,43.0329032524537,29.9627767723849,75,78,0.67,100,100,0,0,"-","-","-"
"Festuca gr. rubra",-0.697447624856608,0.987084182584552,-0.706573600470865,0.479831499463391,-0.0177403687070361,0.00627037283189856,-2.82923666305575,0.00466591811315002,0.00137426708818724,0.000919979537223564,1.49380179947772,0.135227431078428,108.130960167351,77,-46.9514336778285,99.902867355657,106.972993835726,93.902867355657,75,78,0.13,1,52,10,90,"1.6","1.6","0"
"Festuca hystrix",-8.16925034670769,2.13291633747073,-3.8300847544705,0.000128099130288587,-0.0036646369498107,0.0079296892184336,-0.462141308298914,0.643979988877472,0.00618854768132459,0.00167817117490421,3.68767368541998,0.000226313614158726,81.790711836521,77,-28.7545462518142,63.5090925036285,70.5792189836972,57.5090925036285,75,78,0.3,0,1,98,99,"17.1","17.9","0.8"
"Galium pyrenaicum",-4.06694893474379,2.20560835616596,-1.84391255291281,0.0651958853850328,0.027770427742773,0.00695510534821415,3.99281194926883,6.52943496432716e-05,0.000234519131685775,0.00187200370380709,0.125277066070347,0.900304207756043,63.4640699636227,77,-19.8678495049113,45.7356990098226,52.8058254898914,39.7356990098226,75,78,0.37,95,2,96,3,"0.9","0","-0.9"
"Gentiana nivalis",-1.24746270145621,1.08668750331609,-1.1479497994129,0.250989288241587,0.00390552502023206,0.00447276068303482,0.873179965797347,0.382564992920739,5.78515472275162e-05,0.00097721940703469,0.0592001620220202,0.952792680595676,90.8687900460538,77,-45.062439415772,96.124878831544,103.195005311613,90.1248788315441,75,78,0.01,44,23,46,24,"-","-","-"
"Gypsophila repens",-5.10800991135288,1.72284963780452,-2.9648611226817,0.00302819598727345,-0.00441950089027082,0.00820536399666144,-0.538611192881755,0.590155162746052,0.00312128151910473,0.0013696602579462,2.2788728087833,0.0226746272173923,63.4640699636227,77,-28.3576599584067,62.7153199168135,69.7854463968822,56.7153199168135,75,78,0.11,1,3,56,79,"2.9","2.6","-0.3"
"Helianthemum apenninum subsp. urrielense",2.65997377698258,1.08219666268164,2.45793936417366,0.0139736765271357,-0.00551104842391565,0.00476167880870463,-1.15737508666925,0.247119148091158,-0.00296294323633755,0.00103784576450361,-2.85489745940689,0.00430507261172314,101.84082385095,77,-45.5170723667349,97.0341447334697,104.104271213538,91.0341447334697,75,78,0.11,40,73,1,3,"7.9","14.8","6.9"
"Helianthemum canum",-8.1003624439624,1.82320778485683,-4.44291786775061,8.87470496554641e-06,-0.00541317509109095,0.00559433069789883,-0.967618001760975,0.333235183391796,0.00786793954301662,0.001704868477419,4.61498329473948,3.93126936113218e-06,107.668965458933,77,-32.4123167453043,70.8246334906087,77.8947599706774,64.8246334906087,75,78,0.4,1,3,100,100,"56.2","59.2","3"
"Helictotrichon sedenense",-1.16066385704116,1.05497811707812,-1.1001781347425,0.271254515413931,0.0129065675283743,0.00475434812358508,2.71468710176022,0.00663384154705352,-4.01813921015011e-05,0.000946934198851644,-0.0424331407084351,0.966153409667628,101.84082385095,77,-46.6727401972234,99.3454803944469,106.415606874516,93.3454803944469,75,78,0.08,88,23,87,22,"17.1","20.2","3.1"
"Iberis carnosa",0.962786737763782,1.40564533123317,0.684942863161028,0.493379976666403,0.0200855462017721,0.00554550727638336,3.62194930070878,0.00029239143440003,-0.00349644220508865,0.00153394620047912,-2.27937733669965,0.0226446443444656,81.790711836521,77,-29.7493855632062,65.4987711264125,72.5688976064812,59.4987711264125,75,78,0.27,98,26,21,0,"0.2","0","-0.2"
"Jurinea humilis",-5.5700107289131,1.65527413181617,-3.36500802003212,0.000765414341825418,-0.00161565685357519,0.00671195869568496,-0.240713169855153,0.809777430993122,0.00377681659308779,0.00131678237547784,2.86821623938977,0.00412793297596054,76.3700954051769,77,-32.8080362420458,71.6160724840916,78.6861989641604,65.6160724840916,75,78,0.14,2,3,86,90,"2.9","2.1","-0.8"
"Koeleria vallesiana",-1.22311259071184,1.02196518017013,-1.19682413299857,0.231375109824183,-0.0102360992232913,0.00467294704350837,-2.19050186702013,0.028487859545272,0.00207933507823135,0.000980422989854479,2.1208550796427,0.033933999865284,104.825495724752,77,-47.191037039662,100.382074079324,107.452200559393,94.382074079324,75,78,0.1,7,49,63,96,"30.8","33.5","2.7"
"Lotus corniculatus",-3.67070927235384,1.4695510434939,-2.49784401066235,0.0124951163087218,-0.0414376042953165,0.021136817910508,-1.96044667039101,0.0499436054658271,0.00260462471967629,0.0013000860870381,2.00342480828345,0.0451317108638136,63.4640699636227,77,-25.934322561985,57.8686451239701,64.9387716040389,51.8686451239701,75,78,0.18,0,10,0,85,"0","0.1","0.1"
"Minuartia verna",-1.20104141374972,0.964630263242993,-1.24507954966283,0.213102510512758,0.00475767216030061,0.00435767591511657,1.09179118708587,0.274924893566037,0.00110139893742307,0.000875318924324665,1.25828301755595,0.208289420654144,107.668965458933,77,-52.4712184725397,110.942436945079,118.012563425148,104.942436945079,75,78,0.03,65,36,90,75,"2.4","9","6.6"
"Phyteuma orbiculare",-3.32145464987995,1.26079237223582,-2.63441842052856,0.00842815543943425,-0.0105122102932802,0.00776014025566974,-1.35464179086193,0.17553171187473,0.00225402202308472,0.00107610949920603,2.09460284919683,0.0362063117335045,81.790711836521,77,-37.1649368950402,80.3298737900803,87.4000002701491,74.3298737900803,75,78,0.09,1,12,22,79,"0.9","0.5","-0.4"
"Plantago alpina",0.534520860326907,0.988300680356336,0.540848418857896,0.588612066321883,-0.0160830953461717,0.00696484651946667,-2.3091815880249,0.0209335068277827,-0.000611209342518188,0.000912058211238137,-0.67014290862911,0.502766693977164,99.2962102539908,77,-45.4566876288468,96.9133752576935,103.983501737762,90.9133752576935,75,78,0.08,2,55,1,33,"0.2","0.2","0"
"Potentilla crantzii",-3.15645929629102,1.46137848403471,-2.159919097465,0.030778933080669,-0.000241400975315689,0.00634595902626182,-0.0380401093541082,0.969655702517075,0.00127236111514557,0.00123687310219053,1.02869171695317,0.303624563452827,63.4640699636227,77,-31.1826610112777,68.3653220225555,75.4354485026242,62.3653220225554,75,78,0.02,8,8,36,37,"0","0.1","0.1"
"Ranunculus carinthiacus",0.920339469097593,1.03924547217406,0.885584295279418,0.375841577371179,-0.00343447773604532,0.00489091804905998,-0.702215351309232,0.482544873433833,-0.00168298135137865,0.000997792728713568,-1.6867043654933,0.0916602122603,92.8013196534737,77,-44.6504810692452,95.3009621384905,102.371088618559,89.3009621384905,75,78,0.04,29,49,3,7,"1.1","1","-0.1"
"Saxifraga conifera",0.945185029508282,0.977368824192216,0.967070982941845,0.333508550105982,-0.0151664497791486,0.00575014303391946,-2.63757782887894,0.0083500462179366,-0.000456055385712877,0.000881525388174634,-0.517347987738874,0.604913260868075,107.668965458933,77,-49.0250808446488,104.050161689298,111.120288169366,98.0501616892976,75,78,0.09,4,66,2,50,"3","5.5","2.5"
"Scilla verna",-4.9601108311956,1.63006605227248,-3.04288947327053,0.00234318378963354,-0.046230621242784,0.021910000186078,-2.11002377225719,0.0348563083071977,0.00389019359873751,0.00141682814038915,2.74570605131333,0.00603808371418814,66.9743914211761,77,-24.9780231626443,55.9560463252887,63.0261728053574,49.9560463252887,75,78,0.25,0,6,0,96,"6.2","7","0.8"
"Sedum atratum",-0.916478974103703,1.11911900356614,-0.818928971077508,0.412826939613292,0.00729962761049596,0.00445326211293547,1.63916415099228,0.10117907765521,-0.000504010322012935,0.00102857469950872,-0.490008477025215,0.624127900294467,88.805896798032,77,-42.9060420264422,91.8120840528845,98.8822105329533,85.8120840528845,75,78,0.03,65,23,46,12,"-","-","-"
"Silene acaulis",2.45988244576244,1.27209488480632,1.9337256010875,0.0531468744231822,0.00563346807211976,0.00472841767220992,1.19140661055157,0.233493999058901,-0.00409512666433556,0.00138468448108055,-2.95744389446748,0.00310201195519037,84.2718462126623,77,-35.8189853720922,77.6379707441845,84.7080972242532,71.6379707441844,75,78,0.15,82,53,1,0,"2.2","3.1","0.9"
"Silene ciliata",1.20623468722746,1.10828869028904,1.08837588779587,0.276429201290407,0.00710020221779756,0.00444635302200798,1.59685975959486,0.11029697144229,-0.00250260153969659,0.00111152351955785,-2.25150569975532,0.0243535262968647,92.8013196534737,77,-42.2348852001254,90.4697704002508,97.5398968803196,84.4697704002508,75,78,0.09,82,44,10,2,"0","0.4","0.4"
"Thymus praecox subsp. ligusticus",2.2352093207572,1.35297639682234,1.65206822972441,0.0985206426198316,0.00371460498071853,0.00687320053787426,0.540447635748364,0.588888364021135,-0.000555356937831388,0.00119561724782445,-0.464493916294631,0.642293917221044,63.4640699636227,77,-31.451527904343,68.9030558086859,75.9731822887547,62.9030558086859,75,78,0.01,94,87,88,75,"28.6","30.6","2"
